"","Portfolio Manager Property ID","Property GFA - Self-Reported (m²)","Electricity Use - Grid Purchase (kWh)","Primary Property Type - Self Selected","ID","Area","kWh","Property_Type","log_Area"
"350",28034158,2246,"389743.5","Other - Public Services",28034158,2246,389743.5,"Other - Public Services",7.71690613529839
"351",28034163,1147,"122589.3","Other - Entertainment/Public Assembly",28034163,1147,122589.3,"Other - Entertainment/Public Assembly",7.04490511712937
"352",28034165,922.1,"88620.800000000003","Library",28034165,922.1,88620.8,"Library",6.8266536775451
"353",28034166,192,"208829.6","Wastewater Treatment Plant",28034166,192,208829.6,"Wastewater Treatment Plant",5.25749537202778
"354",28034167,281,"61938.400000000001","Social/Meeting Hall",28034167,281,61938.4,"Social/Meeting Hall",5.63835466933375
"355",28034168,492,"Not Available","Social/Meeting Hall",28034168,492,NA,"Social/Meeting Hall",6.19847871649231
"356",28034171,1770,"343499.9","Heated Swimming Pool",28034171,1770,343499.9,"Heated Swimming Pool",7.47873482556787
"357",28034172,1228,"309508.3","Other - Public Services",28034172,1228,309508.3,"Other - Public Services",7.11314210870709
"358",28034175,885,"217693.3","Other - Public Services",28034175,885,217693.3,"Other - Public Services",6.78558764500793
"359",28034177,62.8,"28610.9","Wastewater Treatment Plant",28034177,62.8,28610.9,"Wastewater Treatment Plant",4.13995507347415
"360",28034180,2024,"2736804.1","Wastewater Treatment Plant",28034180,2024,2736804.1,"Wastewater Treatment Plant",7.61283103040736
"361",28034186,973,"187503","Social/Meeting Hall",28034186,973,187503,"Social/Meeting Hall",6.880384082186
"362",28034189,365.7,"Not Available","Library",28034189,365.7,NA,"Library",5.90181332515534
"363",28034191,536,"193063.9","Other - Public Services",28034191,536,193063.9,"Other - Public Services",6.2841341610708
"364",28034199,929,"159254.9","Social/Meeting Hall",28034199,929,159254.9,"Social/Meeting Hall",6.83410873881384
"365",28034201,1728,"201936.5","Social/Meeting Hall",28034201,1728,201936.5,"Social/Meeting Hall",7.454719949364
"366",28034203,372,"Not Available","Social/Meeting Hall",28034203,372,NA,"Social/Meeting Hall",5.91889385427315
"367",28034205,1604.4,"164626.4","Library",28034205,1604.4,164626.4,"Library",7.3805051338959
"368",28034207,1510,"206868.2","Social/Meeting Hall",28034207,1510,206868.2,"Social/Meeting Hall",7.31986492980897
"369",28034219,2486,"Not Available","Other - Public Services",28034219,2486,NA,"Other - Public Services",7.81843027207066
"370",28034220,1212,"Not Available","Other - Public Services",28034220,1212,NA,"Other - Public Services",7.10002716662926
"371",28034227,878,"177514.9","Social/Meeting Hall",28034227,878,177514.9,"Social/Meeting Hall",6.77764659363512
"372",28034232,789,"237312.1","Library",28034232,789,237312.1,"Library",6.67076632084587
"373",28034235,759.5,"Not Available","Library",28034235,759.5,NA,"Library",6.63266032203583
"374",28034238,2237.4,"Not Available","Library",28034238,2237.4,NA,"Library",7.71306975641283
"375",28034239,1043,"3533659.9","Drinking Water Treatment & Distribution",28034239,1043,3533659.9,"Drinking Water Treatment & Distribution",6.94985645500077
"376",28034243,1359.5,"Not Available","Library",28034243,1359.5,NA,"Library",7.21487226407253
"377",28034244,239,"96904.3","Social/Meeting Hall",28034244,239,96904.3,"Social/Meeting Hall",5.47646355193151
"378",28034246,337,"Not Available","Library",28034246,337,NA,"Library",5.82008293035236
"379",28034248,172,"Not Available","Other - Public Services",28034248,172,NA,"Other - Public Services",5.14749447681345
"380",28034249,2410,"Not Available","Ice/Curling Rink",28034249,2410,NA,"Ice/Curling Rink",7.7873820264847
"381",28034258,650.3,"Not Available","Library",28034258,650.3,NA,"Library",6.47743379487511
"382",28034262,877,"139866.9","Police Station",28034262,877,139866.9,"Police Station",6.77650699237218
"383",28034265,2140,"365374.7","Police Station",28034265,2140,365374.7,"Police Station",7.6685611080159
"384",28034268,1856,"344428.79999999999","Social/Meeting Hall",28034268,1856,344428.8,"Social/Meeting Hall",7.52617891334615
"385",28034271,533,"328008.3","Social/Meeting Hall",28034271,533,328008.3,"Social/Meeting Hall",6.27852142416584
"386",28034280,696,"145301.5","Police Station",28034280,696,145301.5,"Police Station",6.54534966033442
"387",28034282,1118,"47388.4","Other - Public Services",28034282,1118,47388.4,"Other - Public Services",7.01929665371504
"388",28034284,775,"31029.599999999999","Police Station",28034284,775,31029.6,"Police Station",6.65286302935335
"389",28034294,1672.3,"126339.7","Police Station",28034294,1672.3,126339.7,"Police Station",7.42195520338708
"390",28034303,573,"Not Available","Social/Meeting Hall",28034303,573,NA,"Social/Meeting Hall",6.35088571671474
"391",28034305,1483,"265486","Pre-school/Daycare",28034305,1483,265486,"Pre-school/Daycare",7.30182234213793
"392",28034309,472.7,"Not Available","Library",28034309,472.7,NA,"Library",6.15846093779919
"393",28034315,219,"Not Available","Drinking Water Treatment & Distribution",28034315,219,NA,"Drinking Water Treatment & Distribution",5.3890717298165
"394",28034319,2203,"Not Available","Other - Entertainment/Public Assembly",28034319,2203,NA,"Other - Entertainment/Public Assembly",7.69757534680234
"395",28034320,897.3,"Not Available","Library",28034320,897.3,NA,"Library",6.79939025430401
"396",28034323,1581,"89706","Other - Public Services",28034323,1581,89706,"Other - Public Services",7.36581283720947
"397",28034326,1839,"463987.5","Other - Lodging/Residential",28034326,1839,463987.5,"Other - Lodging/Residential",7.51697722460432
"398",28034328,1140,"95842.6","Other - Public Services",28034328,1140,95842.6,"Other - Public Services",7.03878354138854
"399",28034330,1305,"Not Available","Other - Public Services",28034330,1305,NA,"Other - Public Services",7.17395831975679
"400",28034336,144,"11579074.699999999","Drinking Water Treatment & Distribution",28034336,144,11579074.7,"Drinking Water Treatment & Distribution",4.969813299576
"401",28034337,187.9,"Not Available","Other - Public Services",28034337,187.9,NA,"Other - Public Services",5.23590990641942
